Protein Complex (201),Description,read only,Read and write,write only
DNA_GYRASE,DNA gyrase,,x,
MG_085_HEXAMER,HPr(Ser) kinase/phosphatase,,x,
MG_203_204_TETRAMER,topoisomerase IV,,x,
MG_205_DIMER,"heat-inducible transcription repressor HrcA, putative",,x,
MG_409_DIMER,"phosphate transport system regulatory protein PhoU, putative",,x,
RIBOSOME_30S,30S ribosomal subunit,,x,
RIBOSOME_50S,50S ribosomal subunit,,x,
