Protein Monomer (482),Description,read only,Read and write,write only
MG_101_MONOMER,Uncharacterized HTH-type transcriptional regulator,,x,
MG_127_MONOMER,Spx subfamily protein,,x,
MG_236_MONOMER,ferric uptake repressor,,x,
