Protein Monomer (482),Description,read only,Read and write,write only
MG_191_MONOMER,MgPa adhesin,,X,
MG_192_MONOMER,P110 protein,,X,
MG_217_MONOMER,P65 adhesin,,X,
MG_218_MONOMER,high molecular weight cytadherence accessory protein 2,,X,
MG_312_MONOMER,high molecular weight cytadherence accessory protein 1,,X,
MG_317_MONOMER,high molecular weight cytadherence accessory protein 3,,X,
MG_318_MONOMER,P32 adhesin,,X,
MG_386_MONOMER,P200 protein,,X,
